City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Kovernino,RU,70.12,light rain,57.1253,43.8142,Welcome
1,Rikitea,PF,69.12,overcast clouds,-23.1203,-134.9692,People ThankYou
2,Rawson,AR,64.02,few clouds,-43.3002,-65.1023,Hosteria Sampedro
4,Wanning,CN,80.91,overcast clouds,18.8003,110.3967,Paradise Hotel
6,Ketchikan,US,61.27,overcast clouds,55.3422,-131.6461,Snows Cove Lodge
8,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
9,Fortuna,US,63.52,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
10,Chuy,UY,57.78,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
11,San Felipe,VE,88.84,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
12,Kruisfontein,ZA,55.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
13,Salinas,US,69.57,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
17,Vaini,TO,69.96,light rain,-21.2,-175.2,Keleti Beach Resort
19,Sabang,ID,82.17,overcast clouds,5.8933,95.3214,Hotel Citra
20,Bethel,US,77.85,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
21,Hithadhoo,MV,80.82,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Palmer,US,79.97,broken clouds,42.1584,-72.3287,Wedgewood Motel
23,Mananjary,MG,66.52,clear sky,-21.2167,48.3333,Vahiny Lodge
24,Necochea,AR,52.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
25,Atuona,PF,76.64,scattered clouds,-9.8,-139.0333,Villa Enata
26,Nara,JP,81.68,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
27,Hilo,US,75.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
28,Mount Isa,AU,64.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
30,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
31,Jamestown,US,65.79,thunderstorm with rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
32,Port Alfred,ZA,62.11,scattered clouds,-33.5906,26.891,The Halyards Hotel
33,Darnah,LY,82.67,clear sky,32.767,22.6367,فندق الفردوس
34,Guerrero Negro,MX,82.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
36,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
37,Kaoma,ZM,62.31,clear sky,-14.7833,24.8,KAOMA AIRPORT
38,Arnia,IN,83.79,scattered clouds,32.5167,74.8,Wave mall
39,Choctaw,US,80.26,few clouds,35.4976,-97.2689,Woodland Hills Mobile Home Prk
42,Ust-Kan,RU,51.22,clear sky,50.9276,84.761,Mini-hotel na Leninskoy
43,Lompoc,US,72.93,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
44,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
46,Khao Yoi,TH,83.89,moderate rain,13.2403,99.8243,เปิ้ล ทำเบาะ
47,Wundanyi,KE,59.74,broken clouds,-3.4019,38.364,Taita Rocks Hotel
49,Chapais,CA,64.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
50,Toledo,ES,83.52,overcast clouds,39.8333,-4.0,Hotel Carlos V Toledo
51,Bredasdorp,ZA,58.32,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
52,Carnarvon,AU,55.47,few clouds,-24.8667,113.6333,Hospitality Carnarvon
53,Belyy Yar,RU,62.49,clear sky,53.6039,91.3903,Pasportnyy Stol
54,West Bay,KY,90.07,few clouds,19.3667,-81.4167,Calypso Cove
55,Vanimo,PG,77.41,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
56,Dondo,MZ,65.71,clear sky,-19.6094,34.7431,Arco Iris
57,Pringsewu,ID,73.29,scattered clouds,-5.3582,104.9744,Urban Style by Front One
59,Saldanha,ZA,55.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
60,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
61,Zalantun,CN,56.55,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
62,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Cap-Chat,CA,62.6,broken clouds,49.1001,-66.6821,Motel Restaurant Nanook Inc.
64,Mamit,IN,69.93,light rain,23.9333,92.4833,R.Tlangliana Building
65,Saint George,US,91.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Smidovich,RU,62.33,overcast clouds,48.6,133.8167,Gostinnitsa
67,Wadi,IN,75.79,broken clouds,17.0667,76.9833,Refreshroom wadi
68,Kloulklubed,PW,84.11,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
69,Zhigansk,RU,62.08,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
70,Carutapera,BR,83.26,few clouds,-1.195,-46.02,Lidera
71,Cape Town,ZA,59.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
72,Vilhena,BR,88.02,clear sky,-12.7406,-60.1458,Hotel Mirage
73,Melilla,ES,86.2,clear sky,35.2937,-2.9383,Hotel Nacional
74,Aklavik,CA,77.0,haze,68.2191,-135.0107,Aklavik Inn
75,Sao Filipe,CV,75.7,scattered clouds,14.8961,-24.4956,Hotel Xaguate
76,Ancud,CL,51.33,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
77,Mar Del Plata,AR,51.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
78,Macklin,CA,86.34,broken clouds,52.3334,-109.9348,Macklin Motor Inn
80,Grindavik,IS,55.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
81,Cabo San Lucas,MX,96.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
82,Pisco,PE,67.01,haze,-13.7,-76.2167,Hotel San Isidro Oficial
83,Lima,PE,66.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
84,Mogadishu,SO,75.96,light rain,2.0371,45.3438,Hotel Juba
85,Davidson,US,79.84,haze,36.1501,-86.7833,Best Western Plus Music Row
86,Yuncheng,CN,78.94,clear sky,35.0231,110.9928,晋州快捷酒店
87,Barra Da Estiva,BR,71.87,broken clouds,-13.6261,-41.3269,Pousada Central
88,Kiunga,PG,73.2,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
89,Matay,EG,96.8,clear sky,28.419,30.7792,Nag Aespen
90,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
91,Nikolskoye,RU,65.39,broken clouds,59.7035,30.7861,Tourist House - Sablino
92,Daru,PG,75.61,scattered clouds,-9.0763,143.2092,Daru Lodge
93,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
94,Sitka,US,60.69,mist,57.0531,-135.33,Westmark Sitka
97,Jacareacanga,BR,99.9,few clouds,-6.2222,-57.7528,Casa do Ian😎
98,Samarai,PG,75.24,overcast clouds,-10.6167,150.6667,Nuli Sapi
99,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
100,Codajas,BR,94.78,scattered clouds,-3.8367,-62.0569,Hotel Tucunaré
101,Ilulissat,GL,59.02,clear sky,69.2167,-51.1,Hotel Arctic
102,Tazovskiy,RU,52.9,overcast clouds,67.4667,78.7,TazHostel
103,Vardo,NO,55.6,light rain,70.3705,31.1107,Vardø Hotel AS
104,Katsuura,JP,80.71,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
105,Torres,BR,69.82,clear sky,-29.3353,-49.7269,Farol Hotel
106,Baffa,PK,73.69,clear sky,34.4378,73.2194,Kisan veternary store Baffa
107,Yellowknife,CA,83.32,few clouds,62.456,-114.3525,The Explorer Hotel
108,Hermanus,ZA,57.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
109,East London,ZA,58.14,clear sky,-33.0153,27.9116,Tu Casa
111,Cravo Norte,CO,77.07,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
113,Korla,CN,78.84,overcast clouds,41.7597,86.1469,Gulisitan Hotel
114,Mitsamiouli,KM,76.75,few clouds,-11.3847,43.2844,Foyer ADM
116,Tambura,SS,69.12,moderate rain,5.6,27.4667,Rikito Lodge
117,Alice Springs,AU,65.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
118,Laukaa,RU,66.38,scattered clouds,58.7372,29.8453,U Lysoy Gory Hotel
119,Sakaraha,MG,61.9,clear sky,-22.9,44.5333,Le Relais
120,Olafsvik,IS,53.71,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
121,Chabahar,IR,84.9,few clouds,25.2919,60.643,هتل گدروشیا
122,Octeville,FR,63.09,overcast clouds,49.6261,-1.6435,Hôtel Le Louvre Cherbourg
125,Sur,OM,92.34,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
127,Owando,CG,81.7,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
128,Puteyets,RU,56.23,broken clouds,65.1716,57.091,"Sot ""Agrarnik"""
129,Obidos,BR,89.69,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
132,Bowen,AU,61.02,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
134,Tuktoyaktuk,CA,69.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
135,Mokolo,CM,72.91,overcast clouds,10.7398,13.8019,Diwa Hôtel
136,Vryburg,ZA,56.1,clear sky,-26.9566,24.7284,Times Premier Lodge
137,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
138,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
140,Russell,US,92.48,few clouds,32.3502,-85.1999,Macs
141,Lebu,CL,55.17,clear sky,-37.6167,-73.65,Hostal Las Lilas
142,Ontario,US,101.41,few clouds,34.0633,-117.6509,American Inn
143,Maturin,VE,85.57,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
144,Nichinan,JP,77.76,broken clouds,31.6,131.3667,Guest House Aki
145,Narbonne,FR,75.16,broken clouds,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
146,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
147,Brae,GB,51.71,overcast clouds,60.3964,-1.353,Busta House Hotel
148,Tautira,PF,69.82,broken clouds,-17.7333,-149.15,Pension Oaoa
150,Huoqiu,CN,79.72,light rain,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
151,Luorong,CN,79.29,overcast clouds,24.4058,109.6086,荣立大酒店
152,Pak Chong,TH,75.61,overcast clouds,14.708,101.4161,PakChong Phubade Hotel
153,Kvarkeno,RU,73.26,scattered clouds,52.0833,59.725,"Ooo ""Kvarkeno"""
154,Cururupu,BR,85.93,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
156,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
157,Broome,US,79.47,scattered clouds,42.2506,-75.833,Chenango Valley State Park
158,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
159,College,US,66.09,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
160,Port Lincoln,AU,51.93,clear sky,-34.7333,135.8667,Port Lincoln Hotel
162,Tecoanapa,MX,87.8,broken clouds,16.5167,-98.75,Hotel Manglares
