City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alofi,NU,2021-07-31 19:36:09,-19.0595,-169.9187,76.89,100,93,12.66
1,Bluff,NZ,2021-07-31 19:36:09,-46.6,168.3333,47.8,95,100,5.44
2,Bredasdorp,ZA,2021-07-31 19:36:10,-34.5322,20.0403,51.28,93,100,1.14
3,Jamestown,US,2021-07-31 19:35:43,42.097,-79.2353,74.3,53,20,4.0
4,Puerto Ayora,EC,2021-07-31 19:36:05,-0.7393,-90.3518,75.16,95,41,7.0
5,Rikitea,PF,2021-07-31 19:31:20,-23.1203,-134.9692,70.63,71,4,9.89
6,Beringovskiy,RU,2021-07-31 19:36:10,63.05,179.3167,42.35,86,100,5.75
7,Moyale,KE,2021-07-31 19:36:11,3.5167,39.0584,69.85,58,99,12.1
8,Atuona,PF,2021-07-31 19:36:12,-9.8,-139.0333,76.75,70,40,12.97
9,Ushuaia,AR,2021-07-31 19:33:17,-54.8,-68.3,44.26,57,75,24.16
10,Le Port,RE,2021-07-31 19:36:12,-20.9373,55.2919,69.8,74,22,3.8
11,Ribeira Grande,PT,2021-07-31 19:35:51,38.5167,-28.7,77.4,73,20,10.36
12,Yellowknife,CA,2021-07-31 19:36:13,62.456,-114.3525,80.29,53,20,9.22
13,Kodiak,US,2021-07-31 19:36:13,57.79,-152.4072,53.11,82,90,5.75
14,San Quintin,MX,2021-07-31 19:36:14,30.4833,-115.95,78.24,63,2,13.69
15,Sao Felix Do Xingu,BR,2021-07-31 19:33:25,-6.6447,-51.995,96.75,21,56,4.7
16,Punta Arenas,CL,2021-07-31 19:36:14,-53.15,-70.9167,42.91,56,0,16.11
17,Dingle,PH,2021-07-31 19:36:14,10.9995,122.6711,77.77,88,98,6.4
18,Beira,MZ,2021-07-31 19:32:52,-19.8436,34.8389,69.89,83,20,5.75
19,Mataura,NZ,2021-07-31 19:36:04,-46.1927,168.8643,47.48,100,100,1.63
20,Polovinnoye,RU,2021-07-31 19:36:15,54.7914,65.9864,64.83,81,98,7.18
21,Norman Wells,CA,2021-07-31 19:36:05,65.282,-126.8329,78.84,47,75,5.75
22,Busselton,AU,2021-07-31 19:36:16,-33.65,115.3333,50.09,81,80,27.87
23,Flin Flon,CA,2021-07-31 19:36:16,54.7682,-101.865,75.04,33,20,0.0
24,Bauchi,NG,2021-07-31 19:36:17,10.5,10.0,74.61,83,79,4.76
25,Srednekolymsk,RU,2021-07-31 19:36:17,67.45,153.6833,40.62,86,100,12.15
26,Chaiyaphum,TH,2021-07-31 19:36:17,15.75,102.0,76.75,86,100,13.47
27,Imeni Poliny Osipenko,RU,2021-07-31 19:36:18,52.4201,136.4853,48.09,97,100,11.52
